"year","month","tmean"
1981,"Jan",-11.7
1981,"Feb",-7.8
1981,"Mar",-2.4
1981,"Apr",5.3
1981,"May",10.3
1981,"Jun",16.2
1981,"Jul",18.4
1981,"Aug",18.3
1981,"Sep",11.9
1981,"Oct",4.7
1981,"Nov",1.4
1981,"Dec",-8.4
1982,"Jan",-17.3
1982,"Feb",-11.9
1982,"Mar",-5.1
1982,"Apr",1.1
1982,"May",14.1
1982,"Jun",12.7
1982,"Jul",19.3
1982,"Aug",16.2
1982,"Sep",12
1982,"Oct",7.6
1982,"Nov",-1.8
1982,"Dec",-5.5
1983,"Jan",-9.1
1983,"Feb",-5
1983,"Mar",-2.5
1983,"Apr",2
1983,"May",8.1
1983,"Jun",16.3
1983,"Jul",21.1
1983,"Aug",19.9
1983,"Sep",13.9
1983,"Oct",6.8
1983,"Nov",-0.3
1983,"Dec",-14.8
1984,"Jan",-13.3
1984,"Feb",-4.4
1984,"Mar",-7.4
1984,"Apr",6
1984,"May",9.5
1984,"Jun",17.3
1984,"Jul",18
1984,"Aug",19.1
1984,"Sep",11.4
1984,"Oct",8.5
1984,"Nov",-1.3
1984,"Dec",-8.6
1985,"Jan",-13
1985,"Feb",-11.8
1985,"Mar",-1.2
1985,"Apr",5.9
1985,"May",13.1
1985,"Jun",14.4
1985,"Jul",17.7
1985,"Aug",16.1
1985,"Sep",12.5
1985,"Oct",6.5
1985,"Nov",-4.4
1985,"Dec",-14.7
1986,"Jan",-11.1
1986,"Feb",-10.9
1986,"Mar",-3.1
1986,"Apr",7
1986,"May",13.3
1986,"Jun",15.5
1986,"Jul",19.2
1986,"Aug",15.5
1986,"Sep",12.6
1986,"Oct",6.2
1986,"Nov",-3.9
1986,"Dec",-7
1987,"Jan",-8.5
1987,"Feb",-5.2
1987,"Mar",-0.4
1987,"Apr",7.3
1987,"May",12.7
1987,"Jun",18
1987,"Jul",19.7
1987,"Aug",17.3
1987,"Sep",13.6
1987,"Oct",3.4
1987,"Nov",0.6
1987,"Dec",-5.1
1988,"Jan",-13.5
1988,"Feb",-13.4
1988,"Mar",-4.2
1988,"Apr",4.8
1988,"May",14
1988,"Jun",18.2
1988,"Jul",20.4
1988,"Aug",19.2
1988,"Sep",12.9
1988,"Oct",3.5
1988,"Nov",-0.5
1988,"Dec",-9.3
1989,"Jan",-8.6
1989,"Feb",-14.9
1989,"Mar",-6.7
1989,"Apr",2.7
1989,"May",10.9
1989,"Jun",14.9
1989,"Jul",19.5
1989,"Aug",17.7
1989,"Sep",12.8
1989,"Oct",7.3
1989,"Nov",-4.3
1989,"Dec",-15.4
1990,"Jan",-6.8
1990,"Feb",-9.7
1990,"Mar",-2.1
1990,"Apr",5.7
1990,"May",9.5
1990,"Jun",16.1
1990,"Jul",17.8
1990,"Aug",17.3
1990,"Sep",13.3
1990,"Oct",5.6
1990,"Nov",0.9
1990,"Dec",-9.2
1991,"Jan",-13.7
1991,"Feb",-8.2
1991,"Mar",-3.2
1991,"Apr",6
1991,"May",13.9
1991,"Jun",18.6
1991,"Jul",18
1991,"Aug",18.5
1991,"Sep",11.2
1991,"Oct",4.9
1991,"Nov",-4.9
1991,"Dec",-8.8
1992,"Jan",-9
1992,"Feb",-7.1
1992,"Mar",-4.5
1992,"Apr",2.3
1992,"May",12
1992,"Jun",14.4
1992,"Jul",15.1
1992,"Aug",15.4
1992,"Sep",11.9
1992,"Oct",5.6
1992,"Nov",-2.7
1992,"Dec",-7.9
1993,"Jan",-11.5
1993,"Feb",-10.7
1993,"Mar",-3.8
1993,"Apr",1.7
1993,"May",10.6
1993,"Jun",14.6
1993,"Jul",18.3
1993,"Aug",18.2
1993,"Sep",9.7
1993,"Oct",4.4
1993,"Nov",-3.5
1993,"Dec",-7.7
1994,"Jan",-18.1
1994,"Feb",-13.2
1994,"Mar",-3.1
1994,"Apr",3.3
1994,"May",11.3
1994,"Jun",17.2
1994,"Jul",17.4
1994,"Aug",15.9
1994,"Sep",14.1
1994,"Oct",7.8
1994,"Nov",0.3
1994,"Dec",-5.7
1995,"Jan",-10.3
1995,"Feb",-11
1995,"Mar",-2.7
1995,"Apr",0.3
1995,"May",10
1995,"Jun",18.9
1995,"Jul",18.6
1995,"Aug",19.9
1995,"Sep",11.8
1995,"Oct",6.7
1995,"Nov",-6.9
1995,"Dec",-10.9
1996,"Jan",-14.9
1996,"Feb",-12.3
1996,"Mar",-8.6
1996,"Apr",0.3
1996,"May",9.3
1996,"Jun",16.7
1996,"Jul",16.6
1996,"Aug",17.8
1996,"Sep",13
1996,"Oct",6.4
1996,"Nov",-4.6
1996,"Dec",-8.8
1997,"Jan",-12.9
1997,"Feb",-8.8
1997,"Mar",-5.5
1997,"Apr",2.4
1997,"May",7.4
1997,"Jun",17.7
1997,"Jul",18
1997,"Aug",15.7
1997,"Sep",13.4
1997,"Oct",6.7
1997,"Nov",-3.4
1997,"Dec",-4.8
1998,"Jan",-8.5
1998,"Feb",-2
1998,"Mar",-3.2
1998,"Apr",6.6
1998,"May",14.9
1998,"Jun",15.8
1998,"Jul",18.7
1998,"Aug",19
1998,"Sep",15.4
1998,"Oct",7.9
1998,"Nov",0.7
1998,"Dec",-6.2
1999,"Jan",-13.4
1999,"Feb",-6.4
1999,"Mar",-3.2
1999,"Apr",6
1999,"May",13.2
1999,"Jun",17.2
1999,"Jul",20.4
1999,"Aug",17.1
1999,"Sep",12.6
1999,"Oct",5.1
1999,"Nov",2.7
1999,"Dec",-7
2000,"Jan",-11.7
2000,"Feb",-6.6
2000,"Mar",0.8
2000,"Apr",3.3
2000,"May",12.7
2000,"Jun",15.3
2000,"Jul",18
2000,"Aug",17.9
2000,"Sep",12.4
2000,"Oct",8.1
2000,"Nov",-1.2
2000,"Dec",-14.4
2001,"Jan",-8.9
2001,"Feb",-12.6
2001,"Mar",-5.1
2001,"Apr",5.3
2001,"May",12.5
2001,"Jun",16.9
2001,"Jul",19.1
2001,"Aug",19.4
2001,"Sep",12.6
2001,"Oct",5.8
2001,"Nov",4.6
2001,"Dec",-4.3
2002,"Jan",-6.6
2002,"Feb",-5.6
2002,"Mar",-8
2002,"Apr",2.7
2002,"May",8.3
2002,"Jun",17.5
2002,"Jul",21.1
2002,"Aug",17.8
2002,"Sep",14
2002,"Oct",2.8
2002,"Nov",-2.9
2002,"Dec",-6.8
2003,"Jan",-12.9
2003,"Feb",-13.9
2003,"Mar",-5.2
2003,"Apr",2.4
2003,"May",10.1
2003,"Jun",15.4
2003,"Jul",18.2
2003,"Aug",19.2
2003,"Sep",13.4
2003,"Oct",5.7
2003,"Nov",-2.2
2003,"Dec",-6.4
2004,"Jan",-15.1
2004,"Feb",-8.9
2004,"Mar",-2.8
2004,"Apr",3.6
2004,"May",9
2004,"Jun",14.5
2004,"Jul",17.6
2004,"Aug",14.6
2004,"Sep",15.7
2004,"Oct",7.2
2004,"Nov",0.8
2004,"Dec",-9
2005,"Jan",-12.3
2005,"Feb",-6.6
2005,"Mar",-5.7
2005,"Apr",6.8
2005,"May",9.5
2005,"Jun",19.3
2005,"Jul",19.9
2005,"Aug",18.3
2005,"Sep",15.4
2005,"Oct",8.4
2005,"Nov",-0.6
2005,"Dec",-8.4
2006,"Jan",-4.7
2006,"Feb",-11.2
2006,"Mar",-3.2
2006,"Apr",7.3
2006,"May",11.9
2006,"Jun",16.6
2006,"Jul",20.7
2006,"Aug",18
2006,"Sep",11.3
2006,"Oct",4.1
2006,"Nov",0.8
2006,"Dec",-5
2007,"Jan",-8.9
2007,"Feb",-13.2
2007,"Mar",-1.2
2007,"Apr",3.7
2007,"May",13.4
2007,"Jun",17.8
2007,"Jul",18.9
2007,"Aug",18.4
2007,"Sep",14.2
2007,"Oct",9.6
2007,"Nov",-1.5
2007,"Dec",-9.9
2008,"Jan",-10.5
2008,"Feb",-12.3
2008,"Mar",-7.6
2008,"Apr",3.1
2008,"May",8.9
2008,"Jun",16
2008,"Jul",18.7
2008,"Aug",17.9
2008,"Sep",14.8
2008,"Oct",7
2008,"Nov",-0.8
2008,"Dec",-12.7
2009,"Jan",-16
2009,"Feb",-9.1
2009,"Mar",-4.4
2009,"Apr",3.6
2009,"May",10.5
2009,"Jun",15.5
2009,"Jul",15.7
2009,"Aug",16.5
2009,"Sep",15.3
2009,"Oct",4
2009,"Nov",3.1
2009,"Dec",-9.5
2010,"Jan",-9.6
2010,"Feb",-8.9
2010,"Mar",1.3
2010,"Apr",8.3
2010,"May",13.1
2010,"Jun",16.3
2010,"Jul",20.1
2010,"Aug",19.8
2010,"Sep",11.3
2010,"Oct",7.7
2010,"Nov",0
2010,"Dec",-8.6
2011,"Jan",-12.6
2011,"Feb",-9.1
2011,"Mar",-4.8
2011,"Apr",2.9
2011,"May",10.3
2011,"Jun",16.2
2011,"Jul",20.9
2011,"Aug",18.1
2011,"Sep",12.7
2011,"Oct",8.6
2011,"Nov",1.1
2011,"Dec",-5.8
2012,"Jan",-8.6
2012,"Feb",-5.7
2012,"Mar",5
2012,"Apr",5
2012,"May",13.3
2012,"Jun",17.6
2012,"Jul",21.1
2012,"Aug",17.2
2012,"Sep",11.8
2012,"Oct",5.6
2012,"Nov",-0.5
2012,"Dec",-5
2013,"Jan",-10.1
2013,"Feb",-10.9
2013,"Mar",-6.7
2013,"Apr",0.1
2013,"May",11.2
2013,"Jun",15.9
2013,"Jul",19.3
2013,"Aug",17.3
2013,"Sep",13.4
2013,"Oct",6.6
2013,"Nov",-2.4
2013,"Dec",-13.5
2014,"Jan",-16.5
2014,"Feb",-15.6
2014,"Mar",-9.6
2014,"Apr",1.1
2014,"May",11.5
2014,"Jun",17.7
2014,"Jul",17.1
2014,"Aug",17.2
2014,"Sep",12.4
2014,"Oct",6
2014,"Nov",-5.8
2014,"Dec",-6.9
2015,"Jan",-11.8
2015,"Feb",-16.7
2015,"Mar",-3.6
2015,"Apr",4.8
2015,"May",11.9
2015,"Jun",15.7
2015,"Jul",18.6
2015,"Aug",17
2015,"Sep",16.3
2015,"Oct",6.9
2015,"Nov",2
2015,"Dec",-2
2016,"Jan",-10.4
2016,"Feb",-7.4
2016,"Mar",-0.3
2016,"Apr",3.4
2016,"May",11.8
2016,"Jun",16.5
2016,"Jul",19.1
2016,"Aug",18.9
2016,"Sep",14.9
2016,"Oct",8.1
2016,"Nov",3.7
2016,"Dec",-8
