"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"AND","mt_st_helens_centroid",46.23221,-122.16,1,NA,1.3783449581602,5.3732752356112,NA,4.66438413323134,4.85262317402491
"AND",NA,44.2325173033773,-122.172477138531,1,NA,0.890064016143502,1.16288431325967,NA,6.23560541258518,5.72895956272609
"ARC",NA,68.602335241583,-149.43391398011,1,NA,1.31564755020582,2.66480589770553,NA,7.44243981914782,NA
"BES",NA,39.3563595578112,-76.7394367722557,1,NA,1.0303510898207,1.59731513197043,NA,1.29208893256841,1.21655985981349
"BNZ",NA,64.7398367091816,-148.254908279044,1,NA,1.43424463687762,3.69556551501948,NA,1.88116232251572,NA
"BNZ",NA,65.181535204016,-147.504118342356,1,NA,1.43424463687762,3.69556551501948,NA,1.88116232251572,NA
"CAP",NA,33.5675568280477,-112.159944917003,1,NA,0.706901880705609,1.79677924995284,NA,3.89210909999862,3.93496928877825
"CCE",NA,32.6834588325572,-121.438986955257,1,0.124501008335256,NA,NA,0.866550709852948,1.21000412658567,NA
"CDR",NA,45.4111988268454,-93.1945856811415,1,NA,1.85717316158797,1.09898354881498,NA,0.369271171633453,0.337724577492299
"CSUN-USVI","cabritte_horn",18.30713526,-64.72164419,1,0.0425554930831052,NA,7.64602551985792,0.284624112712231,24.7605280519886,-0.239828365358482
"CSUN-USVI","east_tektite",18.31095579,-64.72181924,1,0.0425554930831052,0.36595508806408,5.01468961434685,0.284624112712231,24.7173833477171,-0.284826208472482
"CSUN-USVI","europa",18.31673677,-64.72998517,1,0.0425554930831052,0.328186222770245,3.80349231357873,0.284624112712231,24.7843031885409,-0.421966835054687
"CSUN-USVI","neptunes_table",18.3125466,-64.72301093,1,0.0425554930831052,0.350937267105556,4.90988803774697,0.284624112712231,24.7384911535287,-0.306245569688863
"CSUN-USVI","tektite",18.30996508,-64.72321746,1,0.0425554930831052,0.355064362068978,5.77449339794273,0.284624112712231,24.7669431874139,-0.26720409847262
"CSUN-USVI","usvi_centroid",18.31316,-64.72562,1,0.0425554930831052,0.333794574203675,5.05174977067531,0.284624112712231,24.8103185581177,-0.283937496904198
"CSUN-USVI","west_little_lamshur_bay",18.31725847,-64.72779501,1,0.0425554930831052,0.326227125510253,3.64497941595192,0.284624112712231,24.6296684663494,-0.408789946653045
"CSUN-USVI","white_point",18.31445176,-64.73130735,1,0.0425554930831052,0.331327821280038,4.77326350322774,0.284624112712231,25.0230804424969,-0.331728216489132
"CSUN-USVI","yawzi",18.31506678,-64.72551007,1,0.0425554930831052,0.333421478974899,4.26460266084525,0.284624112712231,24.7922263647851,-0.345362529646531
"CWT",NA,35.0525771367264,-83.4509304004655,1,NA,0.649882977612865,1.16732155655762,NA,2.63896087237852,2.81602460168024
"FCE",NA,25.3946380405002,-80.8062830735961,1,NA,0.713554301448456,2.17992833723987,NA,0.053102221284004,0.0344340144010043
"FCRK","382625104353701",38.44027778,-104.5936111,1,NA,1.48677199579145,7.9657558315572,NA,6.12978044751265,6.17072893488142
"FCRK","383347104373401",38.56305412,-104.6266386,1,NA,1.46589461422778,4.96678622939498,NA,7.97069972515108,8.01618051618807
"FCRK","384909104504401",38.81916667,-104.8455556,1,NA,1.05392377724734,5.16565432174204,NA,5.09553007862638,5.06830576460311
"FCRK","385124104501301",38.85666667,-104.8369444,1,NA,1.10131338275082,3.91828488379678,NA,5.83593137309535,5.8320215906716
"FCRK","385204104510101",38.86777778,-104.8511111,1,NA,1.06351148837066,4.70615808079434,NA,5.43054169051064,5.34931029899292
"FCRK","385501104483701",38.91694444,-104.8102778,1,NA,1.01396916929676,3.80306359169012,NA,6.40114821343688,6.358467128148
"FCRK","385750104475001",38.96388889,-104.7972222,1,NA,1.10479220352717,3.10234913173497,NA,6.67838813301579,6.74603022550148
"FCRK","385854104470100",38.98277778,-104.7841667,1,NA,1.14406692648693,3.43156080418323,NA,6.8313986142283,6.86901492062366
"FCRK","7099970",38.25361396,-104.6060854,1,NA,0.859802810354914,2.68942074277515,NA,6.0337892938659,6.00689584891066
"FCRK","7100300",38.89708333,-104.9717778,1,NA,0.839410347976101,2.48492363082653,NA,3.09650863122336,3.18702478344629
"FCRK","7103700",38.85471357,-104.8780314,1,NA,0.973307286544368,2.98821923400198,NA,4.54292054889894,4.56802683326518
"FCRK","7103707",38.82943667,-104.8396969,1,NA,1.05931217395794,2.88573913830094,NA,5.47122407516481,5.44809601876699
"FCRK","7103755",39.0875,-104.8791667,1,NA,1.24474156266874,3.52488074994737,NA,6.03911068518664,5.9930971304069
"FCRK","7103780",39.03102778,-104.8466111,1,NA,1.09123430699417,4.19326205473734,NA,6.03752923011929,5.94295940485852
"FCRK","7103800",38.97054766,-104.902758,1,NA,0.93592864618475,2.68372685254182,NA,3.84870494434334,3.63543119768773
"FCRK","7103960",38.97611111,-104.7986111,1,NA,1.1798632012631,3.14957043571591,NA,6.67802563201173,6.76340945542895
"FCRK","7103970",38.9338817,-104.8171992,1,NA,0.969765045673381,2.8515728658043,NA,6.32182222790516,6.32236638403374
"FCRK","7103977",38.95110464,-104.7135857,1,NA,1.14436932911888,4.67174426417877,NA,7.14758377852398,7.15867867512638
"FCRK","7103980",38.93943809,-104.7410863,1,NA,0.93959287232304,3.60291282103478,NA,7.04015598531217,7.14426262403069
"FCRK","7103985",38.92916041,-104.7471974,1,NA,0.875712361742478,3.75150615402228,NA,7.23327164469168,7.22979183370532
"FCRK","7103990",38.92722222,-104.8141667,1,NA,0.986283023526892,2.54694971191342,NA,6.38803288634069,6.41039662032223
"FCRK","7104000",38.91777057,-104.8185877,1,NA,1.03838552845273,3.38534730975156,NA,6.32828503356549,6.30154317030217
"FCRK","7104050",38.91554824,-104.82581,1,NA,1.06286381311717,3.22436358193323,NA,6.13894428374963,6.0851193275846
"FCRK","7104905",38.83721474,-104.8294192,1,NA,1.00668855296783,1.93080138347045,NA,6.03082987828278,6.03141091539579
"FCRK","7105000",38.82249078,-104.8885861,1,NA,0.806614163309689,3.88648558590617,NA,3.3602029326458,3.19109557372077
"FCRK","7105500",38.81638158,-104.8227519,1,NA,0.919850825217288,2.52329239410886,NA,6.03526431666259,5.98829052401277
"FCRK","7105530",38.80304911,-104.7958069,1,NA,0.89703482741993,3.43413473784344,NA,6.76133743771827,6.75097071616775
"FCRK","7105800",38.7294404,-104.7338611,1,NA,1.40716001648683,5.3239342055247,NA,8.22997725300724,8.27824317667739
"FCRK","7105900",38.6844413,-104.688583,1,NA,1.27648780298515,5.67177973202169,NA,8.76465151329836,8.72905033447051
"FCRK","7106000",38.6016647,-104.6702503,1,NA,1.65503658078544,8.28283093934174,NA,8.63390842297149,8.65643826466176
"FCRK","7106200",38.50225,-104.6064444,1,NA,1.56097702684747,5.84808393470107,NA,7.11404785811381,7.08410172407594
"FCRK","7106300",38.42944444,-104.5980556,1,NA,1.5666198417638,8.14260559355759,NA,6.04432610663311,6.09321099873034
"FCRK","7106500",38.28778013,-104.6010849,1,NA,0.898768063365716,2.47503764812801,NA,5.7086914422066,5.67593331953194
"FCRK","7109500",38.24805799,-104.3991356,1,NA,1.36303645021446,6.68348440101242,NA,2.78404929331552,2.73841153582081
"FCRK","FCRK_centroid",38.80412,-104.8424,1,NA,1.02115678191609,3.09586616289697,NA,5.07338271603624,5.07139418393366
"GCE",NA,31.4003741753517,-81.3506223457793,1,NA,NA,6.01848903167871,2.61480093636631,0.193719760843395,0.104394029586138
"HBR",NA,43.9396341133597,-71.7509212425578,1,NA,1.05994721716782,0.780568941323311,NA,1.89705364101905,1.93236305822901
"HFR",NA,42.5107542540033,-72.1935525797204,1,NA,0.991349201257505,0.534807264763329,NA,1.2590275234959,1.26359105612891
"JRN",NA,32.4745221213469,-106.755319774119,1,NA,1.26052478048531,4.17602353904831,NA,2.75316435131766,2.7516105317705
"JRN",NA,32.5298261565335,-106.874332411494,1,NA,1.26052478048531,4.17602353904831,NA,2.75316435131766,2.7516105317705
"JRN",NA,32.6505437563199,-106.693195662637,1,NA,1.26052478048531,4.17602353904831,NA,2.75316435131766,2.7516105317705
"KBS",NA,42.4056646012824,-85.3826435030377,1,NA,1.03070930821211,2.04276821652838,NA,0.343479888491663,0.329260952577277
"KCDNRP","king_county_dnr",47.5535,-122.1887,1,NA,0.768591027330514,1.9983431906591,NA,4.9965397928076,4.91420894073617
"KNZ",NA,39.092577663266,-96.5750647884653,1,NA,1.21325062993101,3.6106070265999,NA,0.30505198035996,0.30857530164697
"LUQ",NA,18.2948996526252,-65.7895432024314,1,NA,0.4757650593769,3.2696207357605,NA,13.6506732080842,0.108420764972001
"MCM",NA,-77.6306496379474,162.486703437693,1,NA,0.726729618691163,NA,NA,8.64054111115037,NA
"MCR",NA,-17.5243110800771,-149.836775669862,1,NA,0.276755676547361,0.593091660089809,0.922066748050196,19.2087530525407,1.65639019862108
"NTL","allequash_lake",46.038,-89.621,1,NA,1.47727997805938,2.03938355548098,NA,0.413011318806577,0.33746303272698
"NTL","big_muskellunge_lake",46.021,-89.612,1,NA,1.50893718674556,4.24006008861132,NA,0.392418398619332,0.35089874216775
"NTL","crystal_bog",46.008,-89.606,1,NA,1.51180461254838,2.02068300523066,NA,0.341391464987657,0.310674004588475
"NTL","crystal_lake",46.003,-89.612,1,NA,1.47944693436151,2.09974621522151,NA,0.336892227091785,0.31609102675459
"NTL","fish_lake",43.287,-89.652,1,NA,1.5668956993912,3.3014143791511,NA,0.282859220302733,0.226212129848599
"NTL","lake_mendota",43.099,-89.405,1,NA,1.18636926728032,12.8709824722733,NA,0.420329739186102,0.49910523264101
"NTL","lake_monona",43.063,-89.361,1,NA,1.18123273697171,6.10211187253025,NA,0.446346298777339,0.451203839304582
"NTL","lake_wingra",43.053,-89.425,1,NA,1.45977726627195,3.0716101482299,NA,0.323784270976764,0.341006753204926
"NTL","northern_lakes_no_bogs_centroid",46.03119,-89.48587,1,NA,1.61200198563298,3.6751114462209,NA,0.433546401536232,0.37783557408183
"NTL","northern_lakes_with_bogs_centroid",46.02886,-89.57467,1,NA,1.5324122522142,1.72579156878305,NA,0.41356036837868,0.348106364424561
"NTL","sparkling_lake",46.008,-89.701,1,NA,1.34358288749076,1.3428640001676,NA,0.373200583988161,0.321341931157155
"NTL","trout_bog",46.041,-89.686,1,NA,1.51416198900033,4.322701488214,NA,0.304103929605555,0.308759653770593
"NTL","trout_lake",46.029,-89.665,1,NA,1.55839704534407,9.49985471043543,NA,0.349727210324911,0.371276155105861
"NTL",NA,43.1005984166008,-89.4,1,NA,1.88779400263733,33.9629014222107,NA,0.400803715539999,0.396710537958675
"NTL",NA,46.0015944691635,-89.6,1,NA,1.88779400263733,33.9629014222107,NA,0.400803715539999,0.396710537958675
"NWT",NA,40.0479979650126,-105.569243774741,1,NA,1.31563120465112,1.82275301961921,NA,8.88135605116948,8.73745283596404
"PAL",NA,-65.5429113836646,-67.6929842653985,1,0.473173800198782,NA,NA,0.837219545384362,2.26297947261222,NA
"PIE",NA,42.6609181667391,-70.965911506432,1,NA,1.01315450487621,1.05169527863107,NA,1.13347340379511,0.550171726392113
"SBC","ABUR",34.400275,-119.7445915,1,3.6931477949097,1.05722870978782,3.02268453701676,1.15520867099473,10.6845963560084,8.74633582410177
"SBC","AHND",34.471817,-120.1426165,1,1.62947125759084,1.52125157766366,6.01111547671127,2.36013885297016,6.54293012192303,5.00444557389948
"SBC","AQUE",34.46774988,-120.11905,1,0.926013472792137,1.36150122886696,5.76683121856243,2.4603824366496,7.01463689111652,5.18496624712674
"SBC","BULL",34.45850533,-120.33349,1,1.6518550957819,1.74806661367027,7.00983005570844,0.989544376281318,6.32968420368933,3.27478667030713
"SBC","CARP",34.3916319,-119.5416933,1,35.6021912674678,1.08963851143495,7.94768449142165,1.08280213510948,10.8503149275221,8.96352397317729
"SBC","goleta_bay",34.4137165,-119.8221,1,2.05375595611681,0.967112994530935,5.29775652887243,1.05289246190063,9.94011938193449,8.37887170139279
"SBC","IVEE",34.402783,-119.85755,1,2.15010163298507,1.07089062100905,3.75791504500467,1.09394162813668,9.66122654982889,8.47880284779796
"SBC","MOHK",34.3940708,-119.72957,1,3.66627612076827,1.11349938404936,2.96548166686192,1.20411752193551,10.7173424238943,8.91438854022203
"SBC","NAPL",34.4221216,-119.95154,1,3.96044866210842,NA,NA,1.45880480872174,8.2977723059214,7.50837351155755
"SBC","santa_cruz_island_diablo",34.05865,-119.75763,1,1.19781628487641,0.893153118044855,5.46463123004893,0.990895941117025,8.8875092543735,1.09993481853345
"SBC","santa_cruz_island_twin_harbor_west",34.0444335,-119.71513,1,1.4275582548122,1.0088230251547,3.91359881014505,1.02546801838575,8.87634718645231,0.987469733312418
"SBC","SBC_mainland_coast_centroid",34.42474,-119.9158,1,5.55333921908917,1.1540276868444,4.60472325292879,1.81382699585044,8.62841461895723,7.47243444057495
"SBC","SBC_santa_cruz_island_sites_centroid",34.05154,-119.7364,1,1.47401253591934,0.945589177647746,5.0475781730062,1.05718484069506,9.6977162294465,1.03907698988842
"SBC",NA,34.2668067576407,-119.85,1,1.36528251251061,NA,NA,1.03572201897924,9.52456750381822,7.59900977807509
"SEV",NA,34.3198103136161,-106.812986408147,1,NA,1.01855032357755,2.5754856992013,NA,4.17382075931752,4.17610960239255
"SGS",NA,40.826791149303,-104.723981652827,1,NA,1.79919974290243,8.86835715282031,NA,3.70217001931782,3.72057355015627
"VCR",NA,37.4945285044286,-75.702256880578,1,1.16048218116692,0.648386320691058,8.10778170599371,4.2115227880702,0.181397414637912,0.0403126702615851
